timestamp,src_ip,dst_ip,src_port,dst_port,packet_count,total_bytes,duration_ms,label,protocol
1772675904.7935894,127.0.0.1,127.0.0.1,5454,48244,2,2141,0.14,1,TCP
1772675904.7935894,127.0.0.1,127.0.0.1,37952,9897,1,78,0.0,1,TCP
1772675904.7935894,127.0.0.1,127.0.0.1,1235,44248,2,2141,0.17,1,TCP
1772675904.7935894,127.0.0.1,127.0.0.1,44248,1235,1,78,0.0,1,TCP
1772675904.7935894,127.0.0.1,127.0.0.1,48244,5454,1,78,0.0,1,TCP
1772675904.7935894,127.0.0.1,127.0.0.1,41382,6666,1,78,0.0,1,TCP
1772675904.7935894,127.0.0.1,127.0.0.1,6666,41382,2,2141,0.05,1,TCP
1772675904.7935894,127.0.0.1,127.0.0.1,9897,37952,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,37978,9897,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,44278,1235,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,9897,37988,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,5454,48256,2,2141,0.06,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,6666,41402,2,2141,0.07,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,6666,41426,2,2141,0.22,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,1235,44278,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,5454,48272,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,9897,37978,2,2141,0.19,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,48268,5454,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,44256,1235,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,5454,48244,2,2141,0.14,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,37952,9897,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,37988,9897,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,6666,41412,2,2141,0.5,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,44272,1235,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,1235,44256,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,5454,48268,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,1235,44248,2,2141,0.17,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,48272,5454,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,1235,44272,2,2141,0.06,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,5454,48262,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,44258,1235,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,44248,1235,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,41426,6666,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,9897,37962,2,2141,0.02,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,48244,5454,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,9897,37984,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,41402,6666,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,41382,6666,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,6666,41382,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,48256,5454,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,6666,41398,2,2141,0.07,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,9897,37952,2,2141,0.05,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,1235,44258,2,2141,0.32,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,41412,6666,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,48262,5454,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,41398,6666,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,37984,9897,1,78,0.0,1,TCP
1772675906.7951808,127.0.0.1,127.0.0.1,37962,9897,1,78,0.0,1,TCP
