src_port,dst_port,packet_count,total_bytes,duration_ms,actual_label,predicted_label
51800,443,7,3662,42.28,0,0
1235,39382,2,2141,0.06,1,1
44558,6666,1,78,0.0,1,1
43606,443,8,841,46.39,0,0
34922,9897,1,78,0.0,1,1
56152,443,8,841,50.11,0,0
5454,32998,2,2141,0.06,1,1
6666,54212,2,2141,0.05,1,1
55834,5454,1,78,0.0,1,1
39348,1235,1,78,0.0,1,1
51810,443,6,3532,39.5,0,0
58518,1235,1,78,0.0,1,1
34202,443,8,841,40.31,0,0
34844,9897,1,78,0.0,1,1
9897,37988,2,2141,0.05,1,1
34522,443,8,841,41.03,0,0
43688,443,8,841,33.82,0,0
52432,443,3,1467,31.3,0,0
41470,443,8,841,39.89,0,0
34456,443,8,841,37.63,0,0
9897,56808,2,2141,0.06,1,1
34778,443,8,841,44.41,0,0
44278,1235,1,78,0.0,1,1
6666,45904,2,2141,0.06,1,1
1235,57326,2,2141,0.05,1,1
1235,46476,2,2141,0.11,1,1
9897,37978,2,2141,0.19,1,1
57342,1235,1,78,0.0,1,1
6666,44562,2,2141,0.2,1,1
40388,443,8,841,42.37,0,0
45906,6666,1,78,0.0,1,1
42576,443,8,841,44.95,0,0
6666,54092,2,2141,0.05,1,1
34524,443,8,841,41.43,0,0
34562,443,8,841,48.33,0,0
56742,9897,1,78,0.0,1,1
34932,9897,1,78,0.0,1,1
41640,443,8,841,38.71,0,0
41658,443,8,841,48.22,0,0
51800,443,7,3662,42.28,0,0
34236,443,8,841,49.62,0,0
1235,39364,2,2141,0.05,1,1
34180,443,8,841,57.64,0,0
5454,33044,2,2141,0.06,1,1
48380,443,8,841,40.63,0,0
34628,443,8,841,38.0,0,0
33864,443,8,841,34.06,0,0
44438,6666,1,78,0.0,1,1
57524,5454,1,78,0.0,1,1
48404,443,8,841,40.84,0,0
9897,34820,2,2141,0.05,1,1
33020,5454,1,78,0.0,1,1
46470,1235,1,78,0.0,1,1
41484,443,8,841,48.67,0,0
6666,44462,2,2141,0.06,1,1
34484,443,8,841,37.29,0,0
34394,443,8,841,49.2,0,0
44248,1235,1,78,0.0,1,1
48272,5454,1,78,0.0,1,1
34078,443,8,841,45.58,0,0
41484,443,8,841,48.67,0,0
42354,443,8,841,39.15,0,0
1235,46534,2,2141,0.05,1,1
34840,9897,1,78,0.0,1,1
42598,443,8,841,40.15,0,0
39998,443,8,929,291.26,0,0
39998,443,8,929,291.26,0,0
34870,9897,1,78,0.0,1,1
44462,6666,1,78,0.0,1,1
1235,44248,2,2141,0.17,1,1
34708,443,8,841,35.31,0,0
41530,443,8,841,34.66,0,0
34546,443,8,841,35.14,0,0
34796,443,8,841,113.31,0,0
6666,44538,2,2141,0.1,1,1
44288,1235,1,78,0.0,1,1
34112,443,8,841,42.48,0,0
56280,443,8,841,33.39,0,0
53880,443,6,3340,80.62,0,0
6666,54064,2,2141,0.06,1,1
41944,443,8,841,40.19,0,0
34170,443,8,841,46.3,0,0
6666,41426,2,2141,0.22,1,1
43878,443,8,841,39.14,0,0
34970,443,8,841,37.99,0,0
57416,5454,1,78,0.0,1,1
48256,5454,1,78,0.0,1,1
56090,443,8,841,44.62,0,0
43634,443,8,841,35.24,0,0
6666,45906,2,2141,0.05,1,1
5454,55824,2,2141,0.05,1,1
51810,443,6,3532,39.5,0,0
56228,443,8,841,35.65,0,0
9897,56742,2,2141,0.1,1,1
51656,443,8,933,78.87,0,0
1235,46510,2,2141,0.05,1,1
41810,443,8,841,30.55,0,0
34216,443,8,841,47.52,0,0
5454,33114,2,2141,0.05,1,1
6666,54116,2,2141,0.05,1,1
41802,443,8,841,47.24,0,0
49630,9897,1,78,0.0,1,1
39424,1235,1,78,0.0,1,1
1235,57426,2,2141,0.04,1,1
33134,5454,1,78,0.0,1,1
9897,56850,2,2141,0.05,1,1
6666,41448,2,2141,0.05,1,1
33914,443,8,841,34.18,0,0
56166,443,8,841,41.62,0,0
43650,443,8,841,65.77,0,0
1235,39436,2,2141,0.04,1,1
48420,443,8,841,41.89,0,0
48256,5454,1,78,0.0,1,1
42520,443,8,841,76.42,0,0
42366,443,8,841,60.47,0,0
9897,37988,2,2141,0.05,1,1
49614,9897,1,78,0.0,1,1
34796,443,8,841,113.31,0,0
6666,44540,2,2141,0.06,1,1
33914,443,8,841,34.18,0,0
48380,443,8,841,40.63,0,0
41802,443,8,841,47.24,0,0
39364,1235,1,78,0.0,1,1
45834,6666,1,78,0.0,1,1
9897,34808,2,2141,0.05,1,1
5454,55788,2,2141,0.1,1,1
32984,5454,1,78,0.0,1,1
34674,443,8,841,54.12,0,0
44572,6666,1,78,0.0,1,1
52428,443,7,4894,102.84,0,0
39998,443,8,929,291.26,0,0
41724,443,8,841,35.18,0,0
5454,57416,2,2141,0.14,1,1
9897,56750,2,2141,0.06,1,1
59426,443,8,841,44.51,0,0
41692,443,8,841,32.99,0,0
57508,5454,1,78,0.0,1,1
33722,443,8,841,50.62,0,0
44256,1235,1,78,0.0,1,1
34152,443,8,841,39.16,0,0
1235,39452,2,2141,0.05,1,1
33480,443,8,841,41.34,0,0
52428,443,7,4894,102.84,0,0
41620,443,8,841,43.51,0,0
41764,443,8,841,36.68,0,0
49674,9897,1,78,0.0,1,1
34460,443,8,841,108.65,0,0
34882,9897,1,78,0.0,1,1
48420,443,8,841,41.89,0,0
1235,39322,2,2141,0.03,1,1
59416,443,8,841,35.55,0,0
34518,443,8,841,47.86,0,0
51466,443,8,843,55.4,0,0
34882,9897,1,78,0.0,1,1
41506,443,8,841,38.37,0,0
48436,443,8,841,51.59,0,0
56082,443,8,841,59.92,0,0
51810,443,6,3532,39.5,0,0
5454,57508,2,2141,0.16,1,1
42186,443,8,841,39.18,0,0
52432,443,3,1467,31.3,0,0
1235,46512,2,2141,0.05,1,1
59416,443,8,841,35.55,0,0
9897,34836,2,2141,0.05,1,1
41490,443,8,841,38.85,0,0
51800,443,7,3662,42.28,0,0
34784,9897,1,78,0.0,1,1
44292,1235,1,78,0.0,1,1
9897,37978,2,2141,0.19,1,1
56124,443,8,841,39.33,0,0
59320,443,8,841,38.5,0,0
9897,49614,2,2141,0.07,1,1
54100,6666,1,78,0.0,1,1
51810,443,6,3532,39.5,0,0
5454,33044,2,2141,0.06,1,1
41680,443,8,841,51.45,0,0
33844,443,8,841,43.21,0,0
33480,443,8,841,41.34,0,0
6666,54118,2,2141,0.05,1,1
33694,443,8,841,51.9,0,0
34614,443,8,841,38.51,0,0
47942,443,3,1467,30.52,0,0
9897,49748,2,2141,0.05,1,1
46470,1235,1,78,0.0,1,1
41914,443,8,841,39.95,0,0
5454,32984,2,2141,0.07,1,1
40334,443,8,841,38.27,0,0
32984,5454,1,78,0.0,1,1
6666,44438,2,2141,0.05,1,1
9897,34864,2,2141,0.05,1,1
5454,55804,2,2141,0.05,1,1
34746,443,8,841,57.35,0,0
5454,57428,2,2141,0.06,1,1
40394,443,8,841,31.06,0,0
9897,56766,2,2141,0.14,1,1
6666,44540,2,2141,0.06,1,1
33972,443,8,841,36.8,0,0
48268,5454,1,78,0.0,1,1
59246,443,8,841,41.94,0,0
33044,5454,1,78,0.0,1,1
33724,443,8,841,45.0,0,0
44562,6666,1,78,0.0,1,1
51810,443,6,3532,39.5,0,0
57442,5454,1,78,0.0,1,1
59400,443,8,841,43.91,0,0
34700,443,8,841,59.14,0,0
47942,443,3,1467,30.52,0,0
34844,9897,1,78,0.0,1,1
42262,443,8,841,45.24,0,0
45910,6666,1,78,0.0,1,1
6666,58532,2,2141,0.05,1,1
52432,443,3,1467,31.3,0,0
49632,9897,1,78,0.0,1,1
1235,44258,2,2141,0.32,1,1
9897,38014,2,2141,0.05,1,1
44278,1235,1,78,0.0,1,1
34746,443,8,841,57.35,0,0
52432,443,3,1467,31.3,0,0
9897,56742,2,2141,0.1,1,1
1235,46574,2,2141,0.05,1,1
42318,443,8,841,40.09,0,0
40346,443,8,841,35.6,0,0
41506,443,8,841,38.37,0,0
34386,443,8,841,45.52,0,0
44576,6666,1,78,0.0,1,1
6666,54126,2,2141,0.06,1,1
9897,34906,2,2141,0.05,1,1
1235,39402,2,2141,0.06,1,1
54218,6666,1,78,0.0,1,1
39382,1235,1,78,0.0,1,1
48380,443,8,841,40.63,0,0
34668,443,8,841,45.02,0,0
41696,443,8,841,51.76,0,0
49724,9897,1,78,0.0,1,1
9897,34840,2,2141,0.04,1,1
1235,44288,2,2141,0.11,1,1
39332,1235,1,78,0.0,1,1
48392,443,8,841,36.31,0,0
59322,443,8,841,49.39,0,0
5454,55834,2,2141,0.06,1,1
44256,1235,1,78,0.0,1,1
34562,443,8,841,48.33,0,0
33882,443,8,841,35.73,0,0
57366,1235,1,78,0.0,1,1
56258,443,8,841,35.64,0,0
56302,443,8,841,41.76,0,0
9897,37988,2,2141,0.05,1,1
6666,54100,2,2141,0.05,1,1
41604,443,8,841,48.08,0,0
39364,1235,1,78,0.0,1,1
54202,6666,1,78,0.0,1,1
1235,39382,2,2141,0.06,1,1
34468,443,8,841,40.09,0,0
34488,443,8,841,38.4,0,0
57496,5454,1,78,0.0,1,1
57376,1235,1,78,0.0,1,1
54126,6666,1,78,0.0,1,1
5454,57416,2,2141,0.14,1,1
34840,9897,1,78,0.0,1,1
5454,33082,2,2141,0.05,1,1
34660,443,8,841,41.38,0,0
1235,57342,2,2141,0.06,1,1
38014,9897,1,78,0.0,1,1
57524,5454,1,78,0.0,1,1
1235,39416,2,2141,0.05,1,1
40406,443,8,841,46.72,0,0
49586,9897,1,78,0.0,1,1
6666,54084,2,2141,0.06,1,1
34630,443,8,841,31.24,0,0
54064,80,1,75,0.0,0,0
48090,80,1,87,0.0,0,0
5454,57418,2,2141,0.05,1,1
52428,443,7,4894,102.84,0,0
59366,443,8,841,44.08,0,0
44480,6666,1,78,0.0,1,1
39336,1235,1,78,0.0,1,1
59246,443,8,841,41.94,0,0
34420,443,8,841,52.2,0,0
9897,56802,2,2141,0.05,1,1
39316,1235,1,78,0.0,1,1
41750,443,8,841,37.52,0,0
56106,443,8,841,39.95,0,0
5454,57446,2,2141,0.13,1,1
43706,443,8,841,38.42,0,0
41382,6666,1,78,0.0,1,1
48420,443,8,841,41.89,0,0
57484,5454,1,78,0.0,1,1
56124,443,8,841,39.33,0,0
39464,1235,1,78,0.0,1,1
6666,44538,2,2141,0.1,1,1
41402,6666,1,78,0.0,1,1
34682,443,8,841,40.1,0,0
39316,1235,1,78,0.0,1,1
1235,39316,2,2141,0.05,1,1
43780,443,8,841,48.07,0,0
6666,44562,2,2141,0.2,1,1
54064,80,1,75,0.0,0,0
48278,5454,1,78,0.0,1,1
34326,443,8,841,33.14,0,0
33020,5454,1,78,0.0,1,1
41838,443,8,841,44.58,0,0
34426,443,8,841,46.8,0,0
5454,55788,2,2141,0.1,1,1
48124,9897,1,78,0.0,1,1
46534,1235,1,78,0.0,1,1
56136,443,8,841,41.52,0,0
51800,443,7,3662,42.28,0,0
56180,443,8,841,50.38,0,0
34746,443,8,841,57.35,0,0
1235,46480,2,2141,0.05,1,1
34898,9897,1,78,0.0,1,1
34688,443,8,841,42.74,0,0
54064,6666,1,78,0.0,1,1
56202,443,8,841,51.11,0,0
52428,443,7,4894,102.84,0,0
56268,443,8,841,39.11,0,0
57416,5454,1,78,0.0,1,1
34484,443,8,841,37.29,0,0
56254,443,8,841,38.28,0,0
34808,9897,1,78,0.0,1,1
40362,443,8,841,43.0,0,0
56140,443,8,841,37.25,0,0
6666,58460,2,2141,0.06,1,1
9897,34932,2,2141,0.13,1,1
56770,9897,1,78,0.0,1,1
9897,49614,2,2141,0.07,1,1
48442,443,8,841,44.7,0,0
6666,41398,2,2141,0.07,1,1
6666,44480,2,2141,0.05,1,1
52428,443,7,4894,102.84,0,0
9897,56850,2,2141,0.05,1,1
5454,48244,2,2141,0.14,1,1
34008,443,8,841,40.82,0,0
54064,80,1,75,0.0,0,0
6666,41412,2,2141,0.5,1,1
41810,443,8,841,30.55,0,0
33860,443,8,841,37.99,0,0
37952,9897,1,78,0.0,1,1
56058,443,8,841,36.42,0,0
34216,443,8,841,47.52,0,0
6666,54064,2,2141,0.06,1,1
45946,6666,1,78,0.0,1,1
43716,443,8,841,33.14,0,0
6666,41402,2,2141,0.07,1,1
51656,443,8,933,78.87,0,0
6666,54158,2,2141,0.07,1,1
34538,443,8,841,39.84,0,0
42270,443,8,841,33.35,0,0
59426,443,8,841,44.51,0,0
41640,443,8,841,38.71,0,0
9897,34864,2,2141,0.05,1,1
34864,9897,1,78,0.0,1,1
41636,443,8,841,46.42,0,0
5454,33086,2,2141,0.05,1,1
43706,443,8,841,38.42,0,0
5454,33114,2,2141,0.05,1,1
33480,443,8,841,41.34,0,0
45874,6666,1,78,0.0,1,1
46490,1235,1,78,0.0,1,1
59280,443,8,841,46.9,0,0
56180,443,8,841,50.38,0,0
46544,1235,1,78,0.0,1,1
57446,5454,1,78,0.0,1,1
59280,443,8,841,46.9,0,0
5454,55804,2,2141,0.05,1,1
57418,5454,1,78,0.0,1,1
56228,443,8,841,35.65,0,0
51800,443,7,3662,42.28,0,0
6666,54126,2,2141,0.06,1,1
45910,6666,1,78,0.0,1,1
39332,1235,1,78,0.0,1,1
56106,443,8,841,39.95,0,0
48442,443,8,841,44.7,0,0
59322,443,8,841,49.39,0,0
43788,443,8,841,36.47,0,0
56818,9897,1,78,0.0,1,1
9897,34850,2,2141,0.05,1,1
33876,443,8,841,42.13,0,0
41382,6666,1,78,0.0,1,1
41742,443,8,841,40.18,0,0
34700,443,8,841,59.14,0,0
1235,57326,2,2141,0.05,1,1
59328,443,8,841,37.77,0,0
9897,37998,2,2141,0.07,1,1
54064,80,1,75,0.0,0,0
5454,33116,2,2141,0.06,1,1
57480,5454,1,78,0.0,1,1
9897,34870,2,2141,0.05,1,1
49708,9897,1,78,0.0,1,1
6666,44548,2,2141,0.13,1,1
1235,39424,2,2141,0.1,1,1
56124,443,8,841,39.33,0,0
34796,443,8,841,113.31,0,0
37978,9897,1,78,0.0,1,1
9897,49674,2,2141,0.05,1,1
41506,443,8,841,38.37,0,0
42480,443,8,841,37.78,0,0
53298,443,8,841,42.33,0,0
5454,57508,2,2141,0.16,1,1
41542,443,8,841,41.11,0,0
57546,5454,1,78,0.0,1,1
59290,443,8,841,34.82,0,0
34256,443,8,841,42.38,0,0
51800,443,7,3662,42.28,0,0
1235,44256,2,2141,0.05,1,1
33860,443,8,841,37.99,0,0
59386,443,8,841,38.04,0,0
34870,9897,1,78,0.0,1,1
34014,443,8,841,51.74,0,0
51800,443,7,3662,42.28,0,0
52428,443,7,4894,102.84,0,0
9897,56742,2,2141,0.1,1,1
59426,443,8,841,44.51,0,0
51800,443,7,3662,42.28,0,0
57526,5454,1,78,0.0,1,1
55790,5454,1,78,0.0,1,1
59334,443,8,841,37.58,0,0
40440,80,1,146,0.0,0,0
51656,443,8,933,78.87,0,0
44490,6666,1,78,0.0,1,1
47942,443,3,1467,30.52,0,0
34882,9897,1,78,0.0,1,1
59374,443,8,841,40.78,0,0
33694,443,8,841,51.9,0,0
39402,1235,1,78,0.0,1,1
54116,6666,1,78,0.0,1,1
33116,5454,1,78,0.0,1,1
42274,443,8,841,37.16,0,0
48404,443,8,841,40.84,0,0
5454,57510,2,2141,0.06,1,1
34000,443,8,841,35.8,0,0
56046,443,8,841,46.32,0,0
33942,443,8,841,32.07,0,0
41926,443,8,841,39.33,0,0
44248,1235,1,78,0.0,1,1
1235,44278,2,2141,0.05,1,1
34112,443,8,841,42.48,0,0
54174,6666,1,78,0.0,1,1
39998,443,8,929,291.26,0,0
37988,9897,1,78,0.0,1,1
40414,443,8,841,53.56,0,0
5454,33072,2,2141,0.06,1,1
40408,443,8,841,45.15,0,0
34540,443,8,841,38.03,0,0
59222,443,8,841,31.35,0,0
9897,37998,2,2141,0.07,1,1
9897,38014,2,2141,0.05,1,1
34906,9897,1,78,0.0,1,1
43620,443,8,841,35.78,0,0
56174,443,8,841,37.84,0,0
39446,1235,1,78,0.0,1,1
41898,443,8,841,36.93,0,0
52432,443,3,1467,31.3,0,0
54058,6666,1,78,0.0,1,1
34784,9897,1,78,0.0,1,1
54092,6666,1,78,0.0,1,1
43842,443,8,841,43.01,0,0
5454,33086,2,2141,0.05,1,1
40394,443,8,841,31.06,0,0
9897,34792,2,2141,0.05,1,1
47942,443,3,1467,30.52,0,0
39446,1235,1,78,0.0,1,1
34080,443,8,841,40.45,0,0
55792,5454,1,78,0.0,1,1
48256,5454,1,78,0.0,1,1
59302,443,8,841,39.43,0,0
1235,39464,2,2141,0.05,1,1
52428,443,7,4894,102.84,0,0
5454,57448,2,2141,0.06,1,1
41432,6666,1,78,0.0,1,1
34160,443,8,841,39.74,0,0
42364,443,8,841,45.41,0,0
56174,443,8,841,37.84,0,0
49726,9897,1,78,0.0,1,1
34512,443,8,841,52.49,0,0
34518,443,8,841,47.86,0,0
9897,37962,2,2141,0.02,1,1
6666,44472,2,2141,0.06,1,1
41916,443,8,841,69.39,0,0
1235,39396,2,2141,0.06,1,1
54064,80,1,75,0.0,0,0
41914,443,8,841,39.95,0,0
41412,6666,1,78,0.0,1,1
41802,443,8,841,47.24,0,0
59318,443,8,841,37.48,0,0
1235,44248,2,2141,0.17,1,1
5454,55788,2,2141,0.1,1,1
41826,443,8,841,42.07,0,0
34906,9897,1,78,0.0,1,1
40374,443,8,841,43.98,0,0
5454,33086,2,2141,0.05,1,1
34236,443,8,841,49.62,0,0
1235,39376,2,2141,0.16,1,1
9897,37984,2,2141,0.05,1,1
1235,58528,2,2141,0.1,1,1
49718,9897,1,78,0.0,1,1
34778,443,8,841,44.41,0,0
33480,443,8,841,41.34,0,0
34906,9897,1,78,0.0,1,1
49600,9897,1,78,0.0,1,1
