[21:30:26] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:26] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:28] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:28] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:30] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:30] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:32] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:32] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:34] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:34] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:36] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:36] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:38] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:38] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:40] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:41] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:43] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:43] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:45] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:45] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:30:45] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:30:45] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:47] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:47] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:30:47] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:30:47] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:49] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:49] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:30:49] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:30:49] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:51] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:51] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:30:51] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:30:51] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:53] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:53] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:30:54] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:30:54] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:56] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:56] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:30:56] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:30:56] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:30:58] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:30:58] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:30:58] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:30:58] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:00] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
